"date","btc_price","sp500","gold","texas_oil","usd_eu_conv"
2014-01-02,775,1831.98,1219.75,95.14,1.367
2014-01-03,812.1,1831.37,1232.25,93.66,1.3606
2014-01-06,934.5,1826.77,1238,93.12,1.3636
2014-01-07,791,1837.88,1237.5,93.31,1.3618
2014-01-08,828.5,1837.49,1226.5,91.9,1.3586
2014-01-09,850,1838.13,1226,91.36,1.3591
2014-01-10,834.7,1842.37,1232.25,92.39,1.3664
2014-01-13,818.4,1819.2,1246,91.45,1.3647
2014-01-14,826.9,1838.88,1248.75,92.15,1.3682
2014-01-15,839.7,1848.38,1238,93.78,1.3604
2014-01-16,824,1845.89,1237.25,93.54,1.36
2014-01-17,789,1838.7,1241,93.96,1.3554
2014-01-21,810,1843.8,1247.75,94.51,1.356
2014-01-22,807,1844.86,1239.5,96.35,1.3546
2014-01-23,816.2,1828.46,1244.25,97.23,1.368
2014-01-24,781.9,1790.29,1259.25,96.66,1.368
2014-01-27,760.3,1781.56,1270,95.82,1.3679
2014-01-28,795,1792.5,1253.5,97.49,1.3662
2014-01-29,800,1774.2,1254.75,97.34,1.3663
2014-01-30,803.9,1794.19,1254,98.25,1.3549
2014-01-31,800,1782.59,1246.5,97.55,1.35
2014-02-03,810,1741.89,1246.5,96.44,1.3523
2014-02-04,813,1755.2,1253,97.24,1.3507
2014-02-05,791,1751.64,1257,97.4,1.3519
2014-02-06,771.6,1773.43,1258.5,97.84,1.3604
2014-02-07,720,1797.02,1260,99.98,1.3614
2014-02-10,706.3,1799.84,1273.5,100.12,1.3644
2014-02-11,658.9,1819.75,1282.75,99.96,1.3654
2014-02-12,685,1819.26,1286.5,100.38,1.3592
2014-02-13,634.3,1829.83,1290.25,100.27,1.3669
2014-02-14,682,1838.63,1308.5,100.31,1.369
2014-02-18,628,1840.76,1314,102.54,1.3758
2014-02-19,630.4,1828.75,1318.75,103.46,1.3762
2014-02-20,578.9,1839.78,1313.75,103.2,1.369
2014-02-21,568,1836.25,1320.75,102.53,1.3722
2014-02-24,562.4,1847.61,1333,103.17,1.3744
2014-02-25,515,1845.12,1332.75,102.2,1.3749
2014-02-26,582,1845.16,1340,102.93,1.3668
2014-02-27,579,1854.29,1331,102.68,1.3724
2014-02-28,565,1859.45,1327.75,102.88,1.3806
2014-03-03,658,1845.73,1344.25,105.34,1.3763
2014-03-04,668,1873.91,1339.5,103.64,1.3731
2014-03-05,675,1873.81,1333.5,101.75,1.3734
2014-03-06,663,1877.03,1334.25,101.82,1.3848
2014-03-07,621,1878.04,1348.25,102.82,1.3868
2014-03-10,615,1877.17,1334.25,101.39,1.388
2014-03-11,615,1867.63,1348,100.29,1.3867
