"date","btc_price","sp500","gold","texas_oil","usd_eu_conv"
2017-01-03,1037.5,2257.83,1148.65,52.36,1.0416
2017-01-04,1139.6,2270.75,1165.9,53.26,1.0476
2017-01-05,1003.2,2269,1173.05,53.77,1.0598
2017-01-06,898,2276.98,1178,53.98,1.056
2017-01-09,903,2268.9,1176.1,51.95,1.0576
2017-01-10,905.8,2268.9,1183.2,50.82,1.0572
2017-01-11,778.6,2275.32,1187.55,52.19,1.0501
2017-01-12,804.6,2270.44,1206.65,53.01,1.0666
2017-01-13,828.1,2274.64,1196.35,52.36,1.0625
2017-01-17,904,2267.89,1217.5,52.45,1.0695
2017-01-18,887.8,2271.89,1212.5,51.12,1.0682
2017-01-19,900.3,2263.69,1203.35,51.39,1.063
2017-01-23,910,2265.2,1213.75,52.77,1.074
2017-01-24,886.1,2280.07,1213.3,52.38,1.0749
2017-01-25,893.3,2298.37,1203.5,52.14,1.0743
2017-01-26,915.1,2296.68,1191.55,53.24,1.067
2017-01-27,916.7,2294.69,1184.2,53.18,1.069
2017-01-30,917.4,2280.9,1189.85,52.63,1.0681
2017-01-31,966.2,2278.87,1198.8,52.75,1.0794
2017-02-01,983.7,2279.55,1210,53.9,1.0758
2017-02-02,1005.7,2280.85,1224.05,53.55,1.0802
2017-02-03,1015.7,2297.42,1213.05,53.81,1.0792
2017-02-06,1022.6,2292.56,1221.85,53.01,1.0731
2017-02-07,1052.1,2293.08,1231,52.19,1.069
2017-02-08,1048.8,2294.67,1235.6,52.37,1.0708
2017-02-09,985,2307.87,1241.75,52.99,1.0658
2017-02-10,992,2316.1,1225.75,53.84,1.065
2017-02-13,996.5,2328.25,1229.4,52.96,1.0603
2017-02-14,1013.7,2337.58,1229.65,53.21,1.0577
2017-02-15,1013.8,2349.25,1225.15,53.11,1.0597
2017-02-16,1038.4,2347.22,1236.75,53.41,1.066
2017-02-17,1056.2,2351.16,1241.4,53.41,1.0614
2017-02-21,1129.6,2365.38,1228.7,54.02,1.0551
2017-02-22,1125.3,2362.82,1237.5,53.61,1.0555
2017-02-23,1190.9,2363.81,1237.35,54.48,1.0586
2017-02-24,1185.1,2367.34,1255.35,53.99,1.058
2017-02-27,1195.5,2369.75,1256.25,54.04,1.0624
2017-02-28,1189.1,2363.64,1251.9,54,1.0618
2017-03-01,1232.8,2395.96,1246.05,53.82,1.0564
2017-03-02,1262.3,2381.92,1243.3,52.63,1.0514
2017-03-03,1288.2,2383.12,1228.75,53.33,1.0552
2017-03-06,1279.3,2375.31,1231.15,53.19,1.0586
2017-03-07,1232.4,2368.39,1223.7,52.68,1.0582
2017-03-08,1149.3,2362.98,1213.3,49.83,1.0547
2017-03-09,1190.4,2364.87,1204.6,48.75,1.0586
2017-03-10,1113.6,2372.6,1196.55,48.05,1.0667
2017-03-13,1238.5,2373.47,1207.8,47.95,1.067
2017-03-14,1245,2365.45,1203.55,47.24,1.0645
2017-03-15,1256.1,2385.26,1202.25,48.34,1.063
2017-03-16,1169,2381.38,1225.6,48.3,1.0738
2017-03-17,1068.4,2378.25,1228.75,48.34,1.0742
2017-03-20,1039,2373.47,1233,47.79,1.0754
2017-03-21,1115,2344.02,1232.05,47.02,1.081
2017-03-22,1039.1,2348.45,1246.1,47.29,1.08
2017-03-23,1033,2345.96,1247.9,47,1.0787
2017-03-24,943.1,2343.98,1244,47.3,1.0806
2017-03-27,1042.7,2341.59,1256.9,47.02,1.0882
2017-03-28,1044.7,2358.57,1253.65,48.36,1.0852
2017-03-29,1041.8,2361.13,1252.9,49.47,1.0756
2017-03-30,1041,2368.06,1250.9,50.3,1.0726
2017-03-31,1081.7,2362.72,1241.7,50.54,1.0698
