BRAND_ID,BRAND_NAME,BRAND_TYPE,PROD_BASE,PROD_CATEGORY,PROD_DESCRIPT,PROD_MIN,PROD_PRICE,PROD_QOH,PROD_SKU,PROD_TYPE,VEND_CITY,VEND_ID,VEND_NAME,VEND_STATE,VEND_STREET,VEND_ZIP
28,OLDE TYME QUALITY,CONTRACTOR,Water,Top Coat,"Dry Fall, Latex, Semi-Gloss (MPI Gloss Level 5)",15,21.99,110,1010-MIW,Interior,Sweek Hollow,5,National Wholesale Consolidated,VT,1185 BIGLERVILLE CIRCLE,5483
35,LE MODE,PREMIUM,Water,Top Coat,"Elastomeric, Exterior, Industrial Grade, Water Based",25,62.99,22,1021-MTI,Exterior,South Miami,12,International Decor Partners,FL,355 WILDWOOD DRIVE,33143
35,LE MODE,PREMIUM,Solvent,Top Coat,"Traffic Marking Paint, Alkyd",40,6.59,10,1045-DUY,Exterior,Sweek Hollow,5,National Wholesale Consolidated,VT,1185 BIGLERVILLE CIRCLE,5483
30,LONG HAUL,CONTRACTOR,Solvent,Primer,"Primer, Galvanized Metal, Cementitious",10,14.89,21,1067-KBB,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
25,STUTTENFURST,CONTRACTOR,Water,Top Coat,"Light Industrial Coating, Exterior, Water Based ('eggshell-like' - MPI Gloss Level 3) ",25,23.29,43,1074-VVJ,Exterior,S Plymouth,19,S Plymouth Solubles Workshop,NY,1874 LAWLOR CIRCLE,13844
23,FORESTERS BEST,VALUE,Solvent,Top Coat,"Varnish, Interior, Semi-Gloss ",40,14.59,94,1078-QXL,Interior,Grand Ledge,7,Kenny Paints Workshop,MI,1286 RICHARD EVELYN BYRD STREET,48837
35,LE MODE,PREMIUM,Solvent,Primer,"Primer, Epoxy, Anti-Corrosive, for Metal",40,14.99,57,1099-WFZ,Interior,Linden,17,Linden Consolidated,MI,1353 STEPHEN CIRCLE,48451
27,HOME COMFORT,CONTRACTOR,Solvent,Primer,Shellac,15,11.99,116,1143-RGX,Interior,Beebe Plain,2,Warren Paints Consolidated,VT,377 LONGHORN STREET,5823
35,LE MODE,PREMIUM,Solvent,Primer,"Primer, Alkyd, Quick Dry, for Metal",10,11.99,44,1150-MMR,Interior,Pine Hill,6,Pine Hill Chemical Warehouse,PA,1777 EASTWIND COURT,17901
28,OLDE TYME QUALITY,CONTRACTOR,Solvent,Top Coat,"Polyurethane, Moisture Cured, Pigmented, Intermediate Coat",20,14.99,116,1153-AWY,Interior,Grand Ledge,7,Kenny Paints Workshop,MI,1286 RICHARD EVELYN BYRD STREET,48837
28,OLDE TYME QUALITY,CONTRACTOR,Water,Top Coat,"Latex, Exterior, Gloss (MPI Gloss Level 6)",15,23.59,45,1198-STR,Exterior,Huntington,9,Donahue Solubles of West Virginia,WV,382 FLORENCE CIRCLE,25700
25,STUTTENFURST,CONTRACTOR,Solvent,Top Coat,"Stain, Semi-Transparent, for Interior Wood",20,20.99,91,1200-KBU,Interior,Brookfield,10,Lambert Decor of New Hampshire,NH,1839 DEMEURE PLACE,3872
35,LE MODE,PREMIUM,Water,Top Coat,"Fire Retardant Coating, Latex, Interior, Flat (ULC Approved)",25,35.99,49,1203-AIS,Interior,Baltimore,8,Baltimore Paints Consolidated,MD,222 SEWARD 34TH RAMP,21222
33,BINDER PRIME,PREMIUM,Solvent,Sealer,"Alkyd, Sanding Sealer, Clear",25,23.29,54,1336-FVM,Interior,Irvington,20,Irvington Wholesale Workshop,KY,527 ELDERBERRY STREET,40146
29,BUSTERS,VALUE,Water,Sealer,"Sealer, Water Based, for Concrete Floors",5,42.99,56,1403-TUY,Interior,Irvington,20,Irvington Wholesale Workshop,KY,527 ELDERBERRY STREET,40146
27,HOME COMFORT,CONTRACTOR,Solvent,Top Coat,"Heat Resistant Coating, (Up to 205°C/402°F), MPI Gloss Level 5-6 ",10,23.99,129,1433-MMY,Exterior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
30,LONG HAUL,CONTRACTOR,Water,Primer,"Primer Sealer, for Multicolor Systems",10,18.99,76,1485-NNI,Interior,Arlington,13,Boykin Chemical Workshop,VA,200 AERO AVENUE,22218
33,BINDER PRIME,PREMIUM,Water,Top Coat,"Floor Paint, Latex, Low Gloss ",25,21.99,63,1504-LVK,Interior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
29,BUSTERS,VALUE,Water,Top Coat,"Latex, Interior, High Performance Architectural, ('eggshell-like' - MPI Gloss Level 3)",5,34.49,124,1580-VCE,Interior,Linden,17,Linden Consolidated,MI,1353 STEPHEN CIRCLE,48451
25,STUTTENFURST,CONTRACTOR,Water,Top Coat,"Light Industrial Coating, Exterior, Water Based, Semi-Gloss (MPI Gloss Level 5)",40,23.29,125,1663-CDD,Exterior,Sweek Hollow,5,National Wholesale Consolidated,VT,1185 BIGLERVILLE CIRCLE,5483
33,BINDER PRIME,PREMIUM,Solvent,Filler,"Paste, Wood Filler",30,3.99,85,1747-XNI,Exterior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
25,STUTTENFURST,CONTRACTOR,Water,Top Coat,"Latex, Exterior, High Build",10,12.59,24,1838-LZI,Exterior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
30,LONG HAUL,CONTRACTOR,Solvent,Top Coat,Epoxy Deck Coating (Slip-Resistant),40,22.59,98,1854-AFJ,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
28,OLDE TYME QUALITY,CONTRACTOR,Water,Top Coat,"Latex, Exterior, Low Sheen (MPI Gloss Level 3-4)",25,24.99,52,1871-GWZ,Exterior,Laporte,11,Super Solubles of Pennsylvania,PA,1951 WEST 28TH COURT,18626
