SAL_FROM,SAL_END,SAL_AMOUNT,EMP_ID
10/19/2013,  ,27000,83759
10/18/2012,10/18/2013,25710,83759
10/18/2011,10/17/2012,23810,83759
10/19/2010,10/18/2011,23120,83759
10/20/2009,10/18/2010,22450,83759
10/19/2008,10/19/2009,21800,83759
10/19/2007,10/18/2008,20760,83759
10/20/2006,10/19/2007,19770,83759
12/8/2013,  ,51240,84001
12/10/2005,12/8/2006,34720,84001
12/9/2004,12/9/2005,33710,84001
12/9/2003,12/8/2004,32730,84001
12/10/2002,12/9/2003,30310,84001
12/11/2001,12/9/2002,28060,84001
12/10/2000,12/10/2001,26720,84001
12/10/1999,12/9/2000,25450,84001
12/11/1998,12/10/1999,24240,84001
12/12/1997,12/10/1998,23090,84001
12/11/1996,12/11/1997,22420,84001
12/11/1995,12/10/1996,21770,84001
12/12/1994,12/11/1995,21140,84001
12/13/1993,12/11/1994,20520,84001
12/12/1992,12/12/1993,19920,84001
12/12/1991,12/11/1992,18110,84001
12/13/1990,12/12/1991,16770,84001
12/14/1989,12/12/1990,16280,84001
12/13/1988,12/13/1989,15070,84001
12/13/1987,12/12/1988,14630,84001
12/14/1986,12/13/1987,14200,84001
12/15/1985,12/13/1986,13520,84001
12/14/1984,12/14/1985,13130,84001
12/14/1983,12/13/1984,12500,84001
12/15/1982,12/14/1983,12140,84001
12/16/1981,12/14/1982,11790,84001
12/15/1980,12/15/1981,11230,84001
12/7/2012,12/7/2013,47440,84001
12/7/2011,12/6/2012,45180,84001
12/8/2010,12/7/2011,43030,84001
12/9/2009,12/7/2010,39840,84001
12/8/2008,12/8/2009,38680,84001
12/8/2007,12/7/2008,37550,84001
12/9/2006,12/8/2007,35760,84001
12/13/2013,  ,42400,83746
12/12/2012,12/12/2013,39260,83746
2/10/2013,  ,44750,84042
2/10/2012,2/9/2013,41440,84042
2/11/2011,2/10/2012,40230,84042
2/12/2010,2/10/2011,39060,84042
2/11/2009,2/11/2010,36170,84042
2/11/2008,2/10/2009,35120,84042
2/12/2007,2/11/2008,34100,84042
2/13/2006,2/11/2007,33110,84042
2/12/2005,2/12/2006,32150,84042
2/12/2004,2/11/2005,29770,84042
2/13/2003,2/12/2004,28350,84042
2/14/2002,2/12/2003,27000,84042
2/13/2001,2/13/2002,26210,84042
2/13/2000,2/12/2001,24960,84042
2/14/1999,2/13/2000,24230,84042
2/15/1998,2/13/1999,23080,84042
2/14/1997,2/14/1998,22410,84042
2/14/1996,2/13/1997,21340,84042
2/15/1995,2/14/1996,20320,84042
2/16/1994,2/14/1995,19730,84042
2/15/1993,2/15/1994,19160,84042
2/15/1992,2/14/1993,18250,84042
2/16/1991,2/15/1992,17720,84042
2/17/1990,2/15/1991,17200,84042
2/16/1989,2/16/1990,16380,84042
2/16/1988,2/15/1989,15600,84042
2/17/1987,2/16/1988,15150,84042
5/3/2013,  ,28500,84052
5/2/2012,5/2/2013,27670,84052
5/2/2011,5/1/2012,26860,84052
5/3/2010,5/2/2011,24870,84052
5/4/2009,5/2/2010,23690,84052
5/3/2008,5/3/2009,23000,84052
5/3/2007,5/2/2008,22330,84052
9/2/2013,  ,52200,84042
9/1/2012,9/1/2013,50680,84042
9/1/2011,8/31/2012,49200,84042
9/2/2010,9/1/2011,44730,84042
9/3/2009,9/1/2010,43430,84042
9/2/2008,9/2/2009,42170,84042
9/2/2007,9/1/2008,40160,84042
9/3/2006,9/2/2007,38250,84042
9/4/2005,9/2/2006,37140,84042
9/3/2004,9/3/2005,36060,84042
9/3/2003,9/2/2004,34340,84042
9/4/2002,9/3/2003,33340,84042
9/5/2001,9/3/2002,32370,84042
9/4/2000,9/4/2001,29430,84042
9/4/1999,9/3/2000,28570,84042
9/5/1998,9/4/1999,26450,84042
9/6/1997,9/4/1998,25680,84042
9/5/1996,9/5/1997,24460,84042
9/5/1995,9/4/1996,23300,84042
9/6/1994,9/5/1995,22620,84042
9/7/1993,9/5/1994,21960,84042
9/6/1992,9/6/1993,20910,84042
9/6/1991,9/5/1992,19360,84042
9/7/1990,9/6/1991,18800,84042
9/8/1989,9/6/1990,18250,84042
3/7/2013,  ,34500,84042
3/6/2012,3/6/2013,33500,84042
3/6/2011,3/5/2012,31900,84042
3/7/2010,3/6/2011,30970,84042
3/8/2009,3/6/2010,30070,84042
3/7/2008,3/7/2009,27340,84042
3/7/2007,3/6/2008,26040,84042
3/8/2006,3/7/2007,24800,84042
3/9/2005,3/7/2006,24080,84042
3/8/2004,3/8/2005,23380,84042
7/23/2013,  ,43250,84001
7/22/2012,7/22/2013,40050,84001
7/22/2011,7/21/2012,38140,84001
7/23/2010,7/22/2011,35310,84001
7/24/2009,7/22/2010,33630,84001
7/23/2008,7/23/2009,32650,84001
7/23/2007,7/22/2008,31700,84001
7/24/2006,7/23/2007,30190,84001
7/25/2005,7/23/2006,29310,84001
7/24/2004,7/24/2005,28460,84001
7/24/2003,7/23/2004,27630,84001
7/25/2002,7/24/2003,26310,84001
7/26/2001,7/24/2002,25060,84001
7/25/2000,7/25/2001,24330,84001
7/25/1999,7/24/2000,22120,84001
7/26/1998,7/25/1999,21480,84001
7/27/1997,7/25/1998,20460,84001
7/26/1996,7/26/1997,19860,84001
7/26/1995,7/25/1996,19280,84001
7/27/1994,7/26/1995,18720,84001
7/28/1993,7/26/1994,17830,84001
7/27/1992,7/27/1993,17310,84001
7/27/1991,7/26/1992,16490,84001
7/28/1990,7/27/1991,15700,84001
7/29/1989,7/27/1990,14950,84001
7/28/1988,7/28/1989,14510,84001
8/18/2013,  ,60200,84052
8/17/2012,8/17/2013,58450,84052
8/17/2011,8/16/2012,55670,84052
8/18/2010,8/17/2011,54050,84052
8/19/2009,8/17/2010,51480,84052
8/18/2008,8/18/2009,49030,84052
8/18/2007,8/17/2008,47600,84052
8/19/2006,8/18/2007,46210,84052
8/20/2005,8/18/2006,42010,84052
8/19/2004,8/19/2005,40790,84052
8/19/2003,8/18/2004,38850,84052
8/20/2002,8/19/2003,35320,84052
8/21/2001,8/19/2002,32110,84052
8/20/2000,8/20/2001,31170,84052
8/20/1999,8/19/2000,30260,84052
8/21/1998,8/20/1999,29380,84052
8/22/1997,8/20/1998,27980,84052
8/21/1996,8/21/1997,27170,84052
8/21/1995,8/20/1996,26380,84052
8/22/1994,8/21/1995,25120,84052
8/23/1993,8/21/1994,24390,84052
8/22/1992,8/22/1993,23230,84052
8/22/1991,8/21/1992,22550,84052
8/23/1990,8/22/1991,21890,84052
8/24/1989,8/22/1990,21250,84052
8/23/1988,8/23/1989,20630,84052
8/23/1987,8/22/1988,19650,84052
8/24/1986,8/23/1987,17860,84052
8/25/1985,8/23/1986,17010,84052
1/1/2014,  ,62650,84052
12/31/2012,12/31/2013,60830,84052
12/31/2011,12/30/2012,57930,84052
1/1/2011,12/31/2011,55170,84052
1/2/2010,12/31/2010,53560,84052
1/1/2009,1/1/2010,52000,84052
1/1/2008,12/31/2008,49520,84052
1/2/2007,1/1/2008,48080,84052
1/3/2006,1/1/2007,46680,84052
1/2/2005,1/2/2006,44460,84052
1/2/2004,1/1/2005,43170,84052
1/3/2003,1/2/2004,41110,84052
1/4/2002,1/2/2003,38060,84052
1/3/2001,1/3/2002,36950,84052
1/3/2000,1/2/2001,35870,84052
1/4/1999,1/3/2000,34160,84052
1/5/1998,1/3/1999,32530,84052
1/4/1997,1/4/1998,30120,84052
1/4/1996,1/3/1997,27380,84052
1/5/1995,1/4/1996,26580,84052
1/6/1994,1/4/1995,25310,84052
1/5/1993,1/5/1994,24100,84052
1/5/1992,1/4/1993,22950,84052
1/6/1991,1/5/1992,21860,84052
1/7/1990,1/5/1991,21220,84052
10/17/2013,  ,72240,83746
10/16/2012,10/16/2013,68800,83746
10/16/2011,10/15/2012,65520,83746
10/17/2010,10/16/2011,63610,83746
10/18/2009,10/16/2010,60580,83746
10/17/2008,10/17/2009,56090,83746
10/17/2007,10/16/2008,50990,83746
10/18/2006,10/17/2007,48560,83746
10/19/2005,10/17/2006,46250,83746
10/18/2004,10/18/2005,44900,83746
10/18/2003,10/17/2004,41570,83746
10/19/2002,10/18/2003,40360,83746
10/20/2001,10/18/2002,39180,83746
10/19/2000,10/19/2001,38040,83746
10/19/1999,10/18/2000,36930,83746
10/20/1998,10/19/1999,35170,83746
10/21/1997,10/19/1998,34150,83746
10/20/1996,10/20/1997,31050,83746
10/20/1995,10/19/1996,28750,83746
10/21/1994,10/20/1995,27910,83746
10/22/1993,10/20/1994,25370,83746
8/12/2013,  ,43500,83759
8/11/2012,8/11/2013,42230,83759
8/11/2011,8/10/2012,41000,83759
8/12/2010,8/11/2011,37960,83759
8/13/2009,8/11/2010,34510,83759
8/12/2008,8/12/2009,32870,83759
8/12/2007,8/11/2008,31910,83759
8/13/2006,8/12/2007,30390,83759
8/14/2005,8/12/2006,28140,83759
8/13/2004,8/13/2005,26800,83759
8/13/2003,8/12/2004,25520,83759
8/14/2002,8/13/2003,23200,83759
8/4/2013,  ,36250,84052
8/3/2012,8/3/2013,34520,84052
8/3/2011,8/2/2012,31380,84052
8/4/2010,8/3/2011,30470,84052
8/5/2009,8/3/2010,29020,84052
8/4/2008,8/4/2009,27640,84052
8/4/2007,8/3/2008,26830,84052
8/5/2006,8/4/2007,26050,84052
8/6/2005,8/4/2006,24810,84052
8/5/2004,8/5/2005,24090,84052
8/5/2003,8/4/2004,22940,84052
8/6/2002,8/5/2003,21850,84052
8/7/2001,8/5/2002,20810,84052
8/6/2000,8/6/2001,20200,84052
8/6/1999,8/5/2000,19610,84052
8/7/1998,8/6/1999,18680,84052
8/8/1997,8/6/1998,18140,84052
10/24/2013,  ,64350,83683
10/23/2012,10/23/2013,62480,83683
10/23/2011,10/22/2012,60660,83683
10/24/2010,10/23/2011,56170,83683
10/25/2009,10/23/2010,54530,83683
10/24/2008,10/24/2009,51930,83683
10/24/2007,10/23/2008,50420,83683
10/25/2006,10/24/2007,48950,83683
10/26/2005,10/24/2006,47520,83683
10/25/2004,10/25/2005,45260,83683
10/25/2003,10/24/2004,41910,83683
10/26/2002,10/25/2003,39910,83683
